"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"USA","CPI","TOT","AGRWTH","A","2014",1.622223,
"USA","CPI","TOT","AGRWTH","A","2015",0.1186271,
"USA","CPI","TOT","AGRWTH","A","2016",1.261583,
"USA","CPI","TOT","AGRWTH","A","2017",2.13011,
"USA","CPI","TOT","AGRWTH","A","2018",2.442583,
"USA","CPI","TOT","AGRWTH","A","2019",1.81221,
"USA","CPI","TOT","AGRWTH","A","2020",1.233584,
"CHN","CPI","TOT","AGRWTH","A","1985",9.3,
"CHN","CPI","TOT","AGRWTH","A","1986",6.5,
"CHN","CPI","TOT","AGRWTH","A","1987",7.3,
"CHN","CPI","TOT","AGRWTH","A","1988",18.8,
"CHN","CPI","TOT","AGRWTH","A","1989",18,
"CHN","CPI","TOT","AGRWTH","A","1990",3.1,
"CHN","CPI","TOT","AGRWTH","A","1991",3.4,
"CHN","CPI","TOT","AGRWTH","A","1992",6.4,
"CHN","CPI","TOT","AGRWTH","A","1993",14.7,
"CHN","CPI","TOT","AGRWTH","A","1994",24.1,
"CHN","CPI","TOT","AGRWTH","A","1995",17.1,
"CHN","CPI","TOT","AGRWTH","A","1996",8.3,
"CHN","CPI","TOT","AGRWTH","A","1997",2.8,
"CHN","CPI","TOT","AGRWTH","A","1998",-0.8,
"CHN","CPI","TOT","AGRWTH","A","1999",-1.4,
"CHN","CPI","TOT","AGRWTH","A","2000",0.4,
"CHN","CPI","TOT","AGRWTH","A","2001",0.7,
"CHN","CPI","TOT","AGRWTH","A","2002",-0.8,
"CHN","CPI","TOT","AGRWTH","A","2003",1.2,
"CHN","CPI","TOT","AGRWTH","A","2004",3.9,
"CHN","CPI","TOT","AGRWTH","A","2005",1.8,
"CHN","CPI","TOT","AGRWTH","A","2006",1.5,
"CHN","CPI","TOT","AGRWTH","A","2007",4.8,
"CHN","CPI","TOT","AGRWTH","A","2008",5.9,
"CHN","CPI","TOT","AGRWTH","A","2009",-0.7,
"CHN","CPI","TOT","AGRWTH","A","2010",3.3,
"CHN","CPI","TOT","AGRWTH","A","2011",5.4,
"CHN","CPI","TOT","AGRWTH","A","2012",2.6,
"CHN","CPI","TOT","AGRWTH","A","2013",2.6,
"CHN","CPI","TOT","AGRWTH","A","2014",2,
"CHN","CPI","TOT","AGRWTH","A","2015",1.4,
"CHN","CPI","TOT","AGRWTH","A","2016",2,
"CHN","CPI","TOT","AGRWTH","A","2017",1.6,
"CHN","CPI","TOT","AGRWTH","A","2018",2.1,
"CHN","CPI","TOT","AGRWTH","A","2019",2.9,
"OECD","CPI","TOT","AGRWTH","A","1980",14.78296,
"OECD","CPI","TOT","AGRWTH","A","1981",11.99942,
"OECD","CPI","TOT","AGRWTH","A","1982",10.68295,
"OECD","CPI","TOT","AGRWTH","A","1983",10.53212,
"OECD","CPI","TOT","AGRWTH","A","1984",8.887243,
"OECD","CPI","TOT","AGRWTH","A","1985",7.641433,
"OECD","CPI","TOT","AGRWTH","A","1986",6.815455,
"OECD","CPI","TOT","AGRWTH","A","1987",9.108,
"OECD","CPI","TOT","AGRWTH","A","1988",9.843582,
"OECD","CPI","TOT","AGRWTH","A","1989",6.391874,
"OECD","CPI","TOT","AGRWTH","A","1990",7.088106,
"OECD","CPI","TOT","AGRWTH","A","1991",6.644829,
"OECD","CPI","TOT","AGRWTH","A","1992",5.334556,
"OECD","CPI","TOT","AGRWTH","A","1993",4.654132,
"OECD","CPI","TOT","AGRWTH","A","1994",4.727356,
"OECD","CPI","TOT","AGRWTH","A","1995",6.069874,
"OECD","CPI","TOT","AGRWTH","A","1996",5.823339,
"OECD","CPI","TOT","AGRWTH","A","1997",4.909943,
"OECD","CPI","TOT","AGRWTH","A","1998",4.332459,
"OECD","CPI","TOT","AGRWTH","A","1999",3.701748,
"OECD","CPI","TOT","AGRWTH","A","2000",4.057409,
"OECD","CPI","TOT","AGRWTH","A","2001",3.67091,
"OECD","CPI","TOT","AGRWTH","A","2002",2.781151,
"OECD","CPI","TOT","AGRWTH","A","2003",2.480778,
"OECD","CPI","TOT","AGRWTH","A","2004",2.410998,
"OECD","CPI","TOT","AGRWTH","A","2005",2.64364,
"OECD","CPI","TOT","AGRWTH","A","2006",2.67205,
"OECD","CPI","TOT","AGRWTH","A","2007",2.54874,
"OECD","CPI","TOT","AGRWTH","A","2008",3.738404,
"OECD","CPI","TOT","AGRWTH","A","2009",0.555997,
"OECD","CPI","TOT","AGRWTH","A","2010",1.80304,
"OECD","CPI","TOT","AGRWTH","A","2011",2.849344,
"OECD","CPI","TOT","AGRWTH","A","2012",2.243374,
"OECD","CPI","TOT","AGRWTH","A","2013",1.604455,
"OECD","CPI","TOT","AGRWTH","A","2014",1.741781,
"OECD","CPI","TOT","AGRWTH","A","2015",0.6848498,
"OECD","CPI","TOT","AGRWTH","A","2016",1.197644,
"OECD","CPI","TOT","AGRWTH","A","2017",2.281066,
"OECD","CPI","TOT","AGRWTH","A","2018",2.607213,
"OECD","CPI","TOT","AGRWTH","A","2019",2.068631,
"OECD","CPI","TOT","AGRWTH","A","2020",1.366851,
